,Details
5652,"Lokal handlowy, Poznań, 90 m²Stan: Innyzakończona10 June 2024 o godzinie 10:06:493000,00złZobacz aktualne oferty"
5653,"Mieszkanie, Poznań, Piątkowo, 64 m²Stan: Innyzakończona9 June 2024 o godzinie 16:26:44609 000,00złZobacz aktualne oferty"
5654,"Mieszkanie, Poznań, Winogrady, 37 m²Stan: Innyzakończona9 June 2024 o godzinie 14:57:44473 548,00złZobacz aktualne oferty"
5655,"Mieszkanie, Poznań, Winogrady, 39 m²Stan: Innyzakończona9 June 2024 o godzinie 14:57:44493 512,00złZobacz aktualne oferty"
5656,"Mieszkanie, Poznań, Winogrady, 52 m²Stan: Innyzakończona9 June 2024 o godzinie 14:57:44573 104,00złZobacz aktualne oferty"
5657,"Mieszkanie, Poznań, Winogrady, 59 m²Stan: Innyzakończona9 June 2024 o godzinie 14:57:44608 619,00złZobacz aktualne oferty"
5658,"Mieszkanie, Poznań, Rataje, 32 m²Stan: Innyzakończona9 June 2024 o godzinie 10:12:551700,00złZobacz aktualne oferty"
5659,"Działka, Poznań, Junikowo, 2609 m²Stan: Innyzakończona8 June 2024 o godzinie 23:07:571 250 000,00złZobacz aktualne oferty"
5660,"Mieszkanie, Poznań, Wilda, 35 m²Stan: Innyzakończona8 June 2024 o godzinie 18:41:381490,00złZobacz aktualne oferty"
5661,"Dom, Poznań, 50 m²Stan: Innyzakończona8 June 2024 o godzinie 11:37:43319 000,00złZobacz aktualne oferty"
5662,"Magazyny i hale, Poznań, Grunwald, 110 m²Stan: Innyzakończona8 June 2024 o godzinie 09:36:022400,00złZobacz aktualne oferty"
5663,"Magazyny i hale, Poznań, Grunwald, 180 m²Stan: Innyzakończona8 June 2024 o godzinie 09:36:023960,00złZobacz aktualne oferty"
5664,"Działka, Poznań, Grunwald, 1000 m²Stan: Innyzakończona8 June 2024 o godzinie 09:36:015000,00złZobacz aktualne oferty"
5665,"Magazyny i hale, Poznań, 157 m²Stan: Innyzakończona8 June 2024 o godzinie 09:36:012800,00złZobacz aktualne oferty"
5666,"Magazyny i hale, Poznań, Grunwald, 548 m²Stan: Innyzakończona8 June 2024 o godzinie 09:36:0112 800,00złZobacz aktualne oferty"
5667,"Mieszkanie, Poznań, Grunwald, 66 m²Stan: Innyzakończona8 June 2024 o godzinie 01:25:54900 000,00złZobacz aktualne oferty"
5668,"Pokój, Poznań, Piątkowo, 8 m²Stan: Innyzakończona8 June 2024 o godzinie 01:25:54890,00złZobacz aktualne oferty"
5669,"Mieszkanie, Poznań, Rataje, 34 m²Stan: Innyzakończona8 June 2024 o godzinie 01:25:541550,00złZobacz aktualne oferty"
5670,"Mieszkanie, Poznań, Jeżyce, 72 m²Stan: Innyzakończona8 June 2024 o godzinie 00:12:10666 080,00złZobacz aktualne oferty"
5671,"Mieszkanie, Poznań, Nowe Miasto, 53 m²Stan: Innyzakończona7 June 2024 o godzinie 23:08:182600,00złZobacz aktualne oferty"
5672,"Mieszkanie, Poznań, Górczyn, 43 m²Stan: Innyzakończona7 June 2024 o godzinie 21:19:52479 000,00złZobacz aktualne oferty"
5673,"Mieszkanie, Poznań, Piątkowo, 28 m²Stan: Innyzakończona7 June 2024 o godzinie 20:55:27375 000,00złZobacz aktualne oferty"
5674,"Mieszkanie, Poznań, Naramowice, 43 m²Stan: Innyzakończona7 June 2024 o godzinie 20:41:51575 000,00złZobacz aktualne oferty"
5675,"Mieszkanie, Poznań, Łazarz, 20 m²Stan: Innyzakończona7 June 2024 o godzinie 19:49:461190,00złZobacz aktualne oferty"
5676,"Mieszkanie, Poznań, Łazarz, 48 m²Stan: Innyzakończona7 June 2024 o godzinie 19:25:102000,00złZobacz aktualne oferty"
5677,"Lokal gastronomiczny, Poznań, Wilda, 30 m²Stan: Innyzakończona7 June 2024 o godzinie 18:21:252500,00złZobacz aktualne oferty"
5678,"Mieszkanie, Poznań, Jeżyce, 36 m²Stan: Innyzakończona7 June 2024 o godzinie 17:45:42319 000,00złZobacz aktualne oferty"
5679,"Mieszkanie, Poznań, Ogrody, 75 m²Stan: Innyzakończona7 June 2024 o godzinie 16:10:353000,00złZobacz aktualne oferty"
5680,"Pokój, Poznań, Rataje, 6 m²Stan: Innyzakończona7 June 2024 o godzinie 16:10:34500,00złZobacz aktualne oferty"
5681,"Mieszkanie, Poznań, Łazarz, 75 m²Stan: Innyzakończona7 June 2024 o godzinie 16:09:46599 000,00złZobacz aktualne oferty"
5682,"Mieszkanie, Poznań, Naramowice, 51 m²Stan: Innyzakończona7 June 2024 o godzinie 16:08:59569 000,00złZobacz aktualne oferty"
5683,"Mieszkanie, Poznań, Piątkowo, 40 m²Stan: Innyzakończona7 June 2024 o godzinie 16:08:592300,00złZobacz aktualne oferty"
5684,"Mieszkanie, Poznań, Naramowice, 44 m²Stan: Innyzakończona7 June 2024 o godzinie 15:53:40487 467,00złZobacz aktualne oferty"
5685,"Mieszkanie, Poznań, Naramowice, 55 m²Stan: Innyzakończona7 June 2024 o godzinie 15:53:39581 394,00złZobacz aktualne oferty"
5686,"Mieszkanie, Poznań, Naramowice, 54 m²Stan: Innyzakończona7 June 2024 o godzinie 15:53:39573 723,00złZobacz aktualne oferty"
5687,"Mieszkanie, Poznań, Naramowice, 55 m²Stan: Innyzakończona7 June 2024 o godzinie 15:53:39576 496,00złZobacz aktualne oferty"
5688,"Mieszkanie, Poznań, Naramowice, 48 m²Stan: Innyzakończona7 June 2024 o godzinie 15:53:39548 791,00złZobacz aktualne oferty"
5689,"Mieszkanie, Poznań, Naramowice, 44 m²Stan: Innyzakończona7 June 2024 o godzinie 15:53:39488 454,00złZobacz aktualne oferty"
5690,"Mieszkanie, Poznań, Naramowice, 41 m²Stan: Innyzakończona7 June 2024 o godzinie 15:53:38474 673,00złZobacz aktualne oferty"
5691,"Mieszkanie, Poznań, Naramowice, 41 m²Stan: Innyzakończona7 June 2024 o godzinie 15:53:38471 008,00złZobacz aktualne oferty"
5692,"Mieszkanie, Poznań, Naramowice, 38 m²Stan: Innyzakończona7 June 2024 o godzinie 13:46:13457 622,00złZobacz aktualne oferty"
5693,"Pokój, Poznań, Centrum, 18 m²Stan: Innyzakończona7 June 2024 o godzinie 13:05:041150,00złZobacz aktualne oferty"
5694,"Mieszkanie, Poznań, Winogrady, 53 m²Stan: Innyzakończona7 June 2024 o godzinie 12:04:26579 000,00złZobacz aktualne oferty"
5695,"Mieszkanie, Poznań, Grunwald, 48 m²Stan: Innyzakończona7 June 2024 o godzinie 11:51:28523 000,00złZobacz aktualne oferty"
5696,"Mieszkanie, Poznań, Nowe Miasto, 48 m²Stan: Innyzakończona7 June 2024 o godzinie 11:51:28660 000,00złZobacz aktualne oferty"
5697,"Mieszkanie, Poznań, Winogrady, 54 m²Stan: Innyzakończona7 June 2024 o godzinie 11:51:28545 000,00złZobacz aktualne oferty"
5698,"Mieszkanie, Poznań, Piątkowo, 49 m²Stan: Innyzakończona7 June 2024 o godzinie 11:36:01617 474,00złZobacz aktualne oferty"
5699,"Sprzedam lokal użytkowy Poznań, ul. Garbary 95Stan: Innyzakończona7 June 2024 o godzinie 11:17:071 537 500,00złZobacz aktualne oferty"
5700,"Mieszkanie, Poznań, Jeżyce, 55 m²Stan: Innyzakończona7 June 2024 o godzinie 11:08:24879 000,00złZobacz aktualne oferty"
5701,"Mieszkanie, Poznań, Grunwald, 62 m²Stan: Innyzakończona7 June 2024 o godzinie 10:30:15619 000,00złZobacz aktualne oferty"
5702,"Mieszkanie, Poznań, Strzeszyn, 43 m²Stan: Innyzakończona7 June 2024 o godzinie 02:23:082000,00złZobacz aktualne oferty"
5703,"Mieszkanie, Poznań, Piątkowo, 32 m²Stan: Innyzakończona7 June 2024 o godzinie 00:05:11315 000,00złZobacz aktualne oferty"
5704,"Mieszkanie, Poznań, Nowe Miasto, 34 m²Stan: Innyzakończona6 June 2024 o godzinie 23:52:34520 000,00złZobacz aktualne oferty"
5705,"Mieszkanie, Poznań, Chartowo, 54 m²Stan: Innyzakończona6 June 2024 o godzinie 19:26:47618 000,00złZobacz aktualne oferty"
5706,"Mieszkanie, Poznań, Grunwald, 35 m²Stan: Innyzakończona6 June 2024 o godzinie 17:45:041750,00złZobacz aktualne oferty"
5707,"Mieszkanie, Poznań, Wilda, 90 m²Stan: Innyzakończona6 June 2024 o godzinie 17:16:32975 000,00złZobacz aktualne oferty"
5708,"Mieszkanie, Poznań, Piątkowo, 32 m²Stan: Innyzakończona6 June 2024 o godzinie 15:22:251400,00złZobacz aktualne oferty"
5709,"Dom, Poznań, Grunwald, 190 m²Stan: Innyzakończona6 June 2024 o godzinie 15:08:361 299 000,00złZobacz aktualne oferty"
5710,"Mieszkanie, Poznań, Piątkowo, 28 m²Stan: Innyzakończona6 June 2024 o godzinie 15:08:362000,00złZobacz aktualne oferty"
5711,"Sprzedam dom - stan surowy Poznań, Nowe MiastoStan: Innyzakończona6 June 2024 o godzinie 15:06:451 498 000,00złZobacz aktualne oferty"
5712,"Działka, Poznań, 3428 m²Stan: Innyzakończona6 June 2024 o godzinie 14:19:34679 000,00złZobacz aktualne oferty"
5713,"Mieszkanie, Poznań, Winogrady, 54 m²Stan: Innyzakończona6 June 2024 o godzinie 12:53:482000,00złZobacz aktualne oferty"
5714,"Działka, Poznań, 1051 m²Stan: Innyzakończona6 June 2024 o godzinie 12:42:17980 000,00złZobacz aktualne oferty"
5715,"Działka, Poznań, Junikowo, 1051 m²Stan: Innyzakończona6 June 2024 o godzinie 12:42:17980 000,00złZobacz aktualne oferty"
5716,"Mieszkanie, Poznań, Nowe Miasto, 59 m²Stan: Innyzakończona6 June 2024 o godzinie 12:42:15652 347,00złZobacz aktualne oferty"
5717,"Mieszkanie, Poznań, Naramowice, 64 m²Stan: Innyzakończona6 June 2024 o godzinie 12:42:133500,00złZobacz aktualne oferty"
5718,"Mieszkanie, Poznań, 72 m²Stan: Innyzakończona6 June 2024 o godzinie 12:27:37960 000,00złZobacz aktualne oferty"
5719,"Dom, Poznań, 185 m²Stan: Innyzakończona6 June 2024 o godzinie 12:12:59950 000,00złZobacz aktualne oferty"
5720,"Magazyny i hale, Poznań, 8181 m²Stan: Innyzakończona6 June 2024 o godzinie 11:45:23146 718,00złZobacz aktualne oferty"
5721,"Mieszkanie, Poznań, Winogrady, 47 m²Stan: Innyzakończona6 June 2024 o godzinie 11:40:513500,00złZobacz aktualne oferty"
5722,"Mieszkanie, Poznań, Naramowice, 54 m²Stan: Innyzakończona6 June 2024 o godzinie 11:40:51659 000,00złZobacz aktualne oferty"
5723,"Mieszkanie, Poznań, Nowe Miasto, 76 m²Stan: Innyzakończona6 June 2024 o godzinie 09:56:242900,00złZobacz aktualne oferty"
5724,"Mieszkanie, Poznań, Rataje, 43 m²Stan: Innyzakończona6 June 2024 o godzinie 09:56:103000,00złZobacz aktualne oferty"
5725,"Mieszkanie, Poznań, Grunwald, 26 m²Stan: Innyzakończona6 June 2024 o godzinie 09:56:092500,00złZobacz aktualne oferty"
5726,"Mieszkanie, Poznań, Jeżyce, 43 m²Stan: Innyzakończona6 June 2024 o godzinie 08:46:473100,00złZobacz aktualne oferty"
5727,"Mieszkanie, Poznań, Centrum, 63 m²Stan: Innyzakończona6 June 2024 o godzinie 02:30:032750,00złZobacz aktualne oferty"
5728,"Mieszkanie, Poznań, Łazarz, 58 m²Stan: Innyzakończona6 June 2024 o godzinie 00:34:064500,00złZobacz aktualne oferty"
5729,"Działka, Poznań, 1248 m²Stan: Innyzakończona6 June 2024 o godzinie 00:29:46916 500,00złZobacz aktualne oferty"
5730,"Mieszkanie, Poznań, Sołacz, 52 m²Stan: Innyzakończona5 June 2024 o godzinie 22:18:20559 000,00złZobacz aktualne oferty"
5731,"Działka, Poznań, 1607 m²Stan: Innyzakończona5 June 2024 o godzinie 21:09:36723 150,00złZobacz aktualne oferty"
5732,"Mieszkanie, Poznań, Grunwald, 29 m²Stan: Innyzakończona5 June 2024 o godzinie 18:55:361999,00złZobacz aktualne oferty"
5733,"Mieszkanie, Poznań, Nowe Miasto, 73 m²Stan: Innyzakończona5 June 2024 o godzinie 17:27:54985 980,00złZobacz aktualne oferty"
5734,"Garaż, Poznań, Rataje, 16 m²Stan: Innyzakończona5 June 2024 o godzinie 17:14:0238 500,00złZobacz aktualne oferty"
5735,"Dom, Poznań, 187 m²Stan: Innyzakończona5 June 2024 o godzinie 17:02:481 795 000,00złZobacz aktualne oferty"
5736,"Mieszkanie, Poznań, Centrum, 30 m²Stan: Innyzakończona5 June 2024 o godzinie 17:02:48380 000,00złZobacz aktualne oferty"
5737,"Mieszkanie, Poznań, Jeżyce, 46 m²Stan: Innyzakończona5 June 2024 o godzinie 16:50:27510 000,00złZobacz aktualne oferty"
5738,"Mieszkanie, Poznań, Jeżyce, 62 m²Stan: Innyzakończona5 June 2024 o godzinie 16:24:512900,00złZobacz aktualne oferty"
5739,"Mieszkanie, Poznań, Piątkowo, 67 m²Stan: Innyzakończona5 June 2024 o godzinie 14:40:59650 000,00złZobacz aktualne oferty"
5740,"Mieszkanie, Poznań, Nowe Miasto, 122 m²Stan: Innyzakończona5 June 2024 o godzinie 14:18:08680 000,00złZobacz aktualne oferty"
5741,"Mieszkanie, Poznań, Nowe Miasto, 31 m²Stan: Innyzakończona5 June 2024 o godzinie 14:06:001750,00złZobacz aktualne oferty"
5742,"Mieszkanie, Poznań, Winogrady, 31 m²Stan: Innyzakończona5 June 2024 o godzinie 13:39:28399 000,00złZobacz aktualne oferty"
5743,"Mieszkanie, Poznań, Winogrady, 48 m²Stan: Innyzakończona5 June 2024 o godzinie 13:25:07589 000,00złZobacz aktualne oferty"
5744,"Mieszkanie, Poznań, Rataje, 18 m²Stan: Innyzakończona5 June 2024 o godzinie 12:42:17325 000,00złZobacz aktualne oferty"
5745,"Mieszkanie, Poznań, Rataje, 89 m²Stan: Innyzakończona5 June 2024 o godzinie 11:39:471 099 000,00złZobacz aktualne oferty"
5746,"Mieszkanie, Poznań, Ogrody, 41 m²Stan: Innyzakończona5 June 2024 o godzinie 11:11:532300,00złZobacz aktualne oferty"
5747,"Mieszkanie, Poznań, Wilda, 54 m²Stan: Innyzakończona5 June 2024 o godzinie 10:34:59769 000,00złZobacz aktualne oferty"
5748,"Mieszkanie, Poznań, Jeżyce, 41 m²Stan: Innyzakończona5 June 2024 o godzinie 10:11:042900,00złZobacz aktualne oferty"
5749,"Mieszkanie, Poznań, Centrum, 28 m²Stan: Innyzakończona5 June 2024 o godzinie 09:46:02420 000,00złZobacz aktualne oferty"
5750,"Mieszkanie, Poznań, Junikowo, 40 m²Stan: Innyzakończona5 June 2024 o godzinie 09:17:211900,00złZobacz aktualne oferty"
5751,"Mieszkanie, Poznań, Winogrady, 47 m²Stan: Innyzakończona5 June 2024 o godzinie 09:05:14549 000,00złZobacz aktualne oferty"
5752,"Mieszkanie, Poznań, Grunwald, 32 m²Stan: Innyzakończona5 June 2024 o godzinie 08:54:27510 000,00złZobacz aktualne oferty"
5753,"Garaż, Poznań, Stare Miasto, 10 m²Stan: Innyzakończona5 June 2024 o godzinie 08:54:26400,00złZobacz aktualne oferty"
5754,"Mieszkanie, Poznań, Winogrady, 46 m²Stan: Innyzakończona4 June 2024 o godzinie 23:11:472700,00złZobacz aktualne oferty"
5755,"Biuro, Poznań, Wilda, 70 m²Stan: Innyzakończona4 June 2024 o godzinie 22:33:561900,00złZobacz aktualne oferty"
5756,"Mieszkanie, Poznań, Winogrady, 31 m²Stan: Innyzakończona4 June 2024 o godzinie 19:32:29800,00złZobacz aktualne oferty"
5757,"Mieszkanie, Poznań, 39 m²Stan: Innyzakończona4 June 2024 o godzinie 18:28:122600,00złZobacz aktualne oferty"
5758,"Działka, Poznań, Ławica, 300 m²Stan: Innyzakończona4 June 2024 o godzinie 18:01:32120 000,00złZobacz aktualne oferty"
5759,"Działka, Poznań, 392 m²Stan: Innyzakończona4 June 2024 o godzinie 18:01:3239 200,00złZobacz aktualne oferty"
5760,"Mieszkanie, Poznań, Grunwald, 48 m²Stan: Innyzakończona4 June 2024 o godzinie 18:01:32564 000,00złZobacz aktualne oferty"
5761,"Mieszkanie, Poznań, Grunwald, 142 m²Stan: Innyzakończona4 June 2024 o godzinie 18:01:318000,00złZobacz aktualne oferty"
5762,"Mieszkanie, Poznań, Rataje, 40 m²Stan: Innyzakończona4 June 2024 o godzinie 17:01:49535 000,00złZobacz aktualne oferty"
5763,"Mieszkanie, Poznań, Nowe Miasto, 40 m²Stan: Innyzakończona4 June 2024 o godzinie 16:50:35535 000,00złZobacz aktualne oferty"
5764,"Działka, Poznań, Rataje, 5028 m²Stan: Innyzakończona4 June 2024 o godzinie 16:47:402 262 600,00złZobacz aktualne oferty"
5765,"Mieszkanie, Poznań, Jeżyce, 46 m²Stan: Innyzakończona4 June 2024 o godzinie 16:37:30489 000,00złZobacz aktualne oferty"
5766,"Mieszkanie, Poznań, Winogrady, 47 m²Stan: Innyzakończona4 June 2024 o godzinie 16:24:54467 000,00złZobacz aktualne oferty"
5767,"Mieszkanie, Poznań, Jeżyce, 92 m²Stan: Innyzakończona4 June 2024 o godzinie 14:42:23891 236,00złZobacz aktualne oferty"
5768,"Mieszkanie, Poznań, Jeżyce, 70 m²Stan: Innyzakończona4 June 2024 o godzinie 14:42:23668 515,00złZobacz aktualne oferty"
5769,"Mieszkanie, Poznań, 31 m²Stan: Innyzakończona4 June 2024 o godzinie 13:31:27370 000,00złZobacz aktualne oferty"
5770,"Mieszkanie, Poznań, Główna, 47 m²Stan: Innyzakończona4 June 2024 o godzinie 12:53:02629 000,00złZobacz aktualne oferty"
5771,"Mieszkanie, Poznań, Rataje, 47 m²Stan: Innyzakończona4 June 2024 o godzinie 12:53:02629 000,00złZobacz aktualne oferty"
5772,"Działka, Poznań, Naramowice, 2560 m²Stan: Innyzakończona4 June 2024 o godzinie 12:17:002000,00złZobacz aktualne oferty"
5773,"Dom, Poznań, Jeżyce, 250 m²Stan: Innyzakończona4 June 2024 o godzinie 12:16:521 349 100,00złZobacz aktualne oferty"
5774,"Mieszkanie, Poznań, Piątkowo, 53 m²Stan: Innyzakończona4 June 2024 o godzinie 11:06:33570 000,00złZobacz aktualne oferty"
5775,"Mieszkanie, Poznań, Naramowice, 34 m²Stan: Innyzakończona4 June 2024 o godzinie 09:37:281900,00złZobacz aktualne oferty"
5776,"Mieszkanie, Poznań, Naramowice, 81 m²Stan: Innyzakończona4 June 2024 o godzinie 09:23:00899 000,00złZobacz aktualne oferty"
5777,"Magazyny i hale, Poznań, Junikowo, 1237 m²Stan: Innyzakończona4 June 2024 o godzinie 08:27:424 400 000,00złZobacz aktualne oferty"
5778,"Dom, Poznań, Górczyn, 300 m²Stan: Innyzakończona4 June 2024 o godzinie 07:55:352 100 000,00złZobacz aktualne oferty"
5779,"Działka, Poznań, Junikowo, 6487 m²Stan: Innyzakończona4 June 2024 o godzinie 07:53:284 400 000,00złZobacz aktualne oferty"
5780,"Mieszkanie, Poznań, Stare Miasto, 44 m²Stan: Innyzakończona4 June 2024 o godzinie 07:47:43826 956,00złZobacz aktualne oferty"
5781,"Mieszkanie, Poznań, Centrum, 42 m²Stan: Innyzakończona4 June 2024 o godzinie 07:47:43799 680,00złZobacz aktualne oferty"
5782,"Działka, Poznań, Stare Miasto, 638 m²Stan: Innyzakończona4 June 2024 o godzinie 01:49:311 700 000,00złZobacz aktualne oferty"
5783,"Mieszkanie, Poznań, Winogrady, 47 m²Stan: Innyzakończona4 June 2024 o godzinie 00:04:38539 000,00złZobacz aktualne oferty"
5784,"Lokal usługowy, Poznań, 22 m²Stan: Innyzakończona4 June 2024 o godzinie 00:04:252500,00złZobacz aktualne oferty"
5785,"Mieszkanie, Poznań, Winogrady, 29 m²Stan: Innyzakończona4 June 2024 o godzinie 00:03:47800,00złZobacz aktualne oferty"
5786,"Mieszkanie, Poznań, Wilda, 175 m²Stan: Innyzakończona3 June 2024 o godzinie 22:20:41480 000,00złZobacz aktualne oferty"
5787,"Mieszkanie, Poznań, Stare Miasto, 49 m²Stan: Innyzakończona3 June 2024 o godzinie 21:35:11799 500,00złZobacz aktualne oferty"
5788,"Dom, Poznań, Piątkowo, 211 m²Stan: Innyzakończona3 June 2024 o godzinie 20:18:211 585 000,00złZobacz aktualne oferty"
5789,"Mieszkanie, Poznań, 68 m²Stan: Innyzakończona3 June 2024 o godzinie 19:51:43999 000,00złZobacz aktualne oferty"
5790,"Mieszkanie, Poznań, Nowe Miasto, 50 m²Stan: Innyzakończona3 June 2024 o godzinie 18:59:352600,00złZobacz aktualne oferty"
5791,"Mieszkanie, Poznań, Centrum, 22 m²Stan: Innyzakończona3 June 2024 o godzinie 17:31:342500,00złZobacz aktualne oferty"
5792,"Mieszkanie, Poznań, Grunwald, 16 m²Stan: Innyzakończona3 June 2024 o godzinie 17:19:191550,00złZobacz aktualne oferty"
5793,"Mieszkanie, Poznań, Podolany, 57 m²Stan: Innyzakończona3 June 2024 o godzinie 17:06:56570 000,00złZobacz aktualne oferty"
5794,"Mieszkanie, Poznań, Winogrady, 44 m²Stan: Innyzakończona3 June 2024 o godzinie 15:49:58395 000,00złZobacz aktualne oferty"
5795,"Mieszkanie, Poznań, Główna, 29 m²Stan: Innyzakończona3 June 2024 o godzinie 15:49:49319 323,00złZobacz aktualne oferty"
5796,"Mieszkanie, Poznań, Główna, 25 m²Stan: Innyzakończona3 June 2024 o godzinie 15:49:49279 227,00złZobacz aktualne oferty"
5797,"Lokal usługowy, Poznań, Jeżyce, 54 m²Stan: Innyzakończona3 June 2024 o godzinie 15:37:44399 000,00złZobacz aktualne oferty"
5798,"Lokal usługowy, Poznań, Jeżyce, 64 m²Stan: Innyzakończona3 June 2024 o godzinie 15:37:44419 000,00złZobacz aktualne oferty"
5799,"Lokal usługowy, Poznań, Jeżyce, 77 m²Stan: Innyzakończona3 June 2024 o godzinie 15:37:43499 000,00złZobacz aktualne oferty"
5800,"Komercyjne, Poznań, Grunwald, 16 m²Stan: Innyzakończona3 June 2024 o godzinie 15:25:4776 000,00złZobacz aktualne oferty"
5801,"Działka, Poznań, Umultowo, 4525 m²Stan: Innyzakończona3 June 2024 o godzinie 15:25:431 800 000,00złZobacz aktualne oferty"
5802,"Mieszkanie, Poznań, Grunwald, 38 m²Stan: Innyzakończona3 June 2024 o godzinie 14:58:432350,00złZobacz aktualne oferty"
5803,"Mieszkanie, Poznań, Rataje, 50 m²Stan: Innyzakończona3 June 2024 o godzinie 14:47:12499 000,00złZobacz aktualne oferty"
5804,"Mieszkanie, Poznań, Winogrady, 38 m²Stan: Innyzakończona3 June 2024 o godzinie 14:47:12415 000,00złZobacz aktualne oferty"
5805,"Mieszkanie, Poznań, Rataje, 49 m²Stan: Innyzakończona3 June 2024 o godzinie 14:47:11525 000,00złZobacz aktualne oferty"
5806,"Biuro, Poznań, Jeżyce, 42 m²Stan: Innyzakończona3 June 2024 o godzinie 14:47:111197,00złZobacz aktualne oferty"
5807,"Magazyny i hale, Poznań, Jeżyce, 142 m²Stan: Innyzakończona3 June 2024 o godzinie 14:47:111918,00złZobacz aktualne oferty"
5808,"Mieszkanie, Poznań, 80 m²Stan: Innyzakończona3 June 2024 o godzinie 13:48:033500,00złZobacz aktualne oferty"
5809,"Mieszkanie, Poznań, Winiary, 55 m²Stan: Innyzakończona3 June 2024 o godzinie 13:48:002100,00złZobacz aktualne oferty"
5810,"Mieszkanie, Poznań, Łazarz, 99 m²Stan: Innyzakończona3 June 2024 o godzinie 13:35:44849 000,00złZobacz aktualne oferty"
5811,"Mieszkanie, Poznań, Rataje, 49 m²Stan: Innyzakończona3 June 2024 o godzinie 12:01:10550 000,00złZobacz aktualne oferty"
5812,"Pokój, Poznań, Winogrady, 8 m²Stan: Innyzakończona3 June 2024 o godzinie 11:48:37900,00złZobacz aktualne oferty"
5813,"Mieszkanie, Poznań, Wilda, 42 m²Stan: Innyzakończona3 June 2024 o godzinie 11:48:252450,00złZobacz aktualne oferty"
5814,"Mieszkanie, Poznań, Grunwald, 51 m²Stan: Innyzakończona3 June 2024 o godzinie 11:07:22560 000,00złZobacz aktualne oferty"
5815,"Dom, Poznań, Dębiec, 99 m²Stan: Innyzakończona3 June 2024 o godzinie 11:06:09799 000,00złZobacz aktualne oferty"
5816,"Mieszkanie, Poznań, Nowe Miasto, 32 m²Stan: Innyzakończona3 June 2024 o godzinie 10:29:22369 000,00złZobacz aktualne oferty"
5817,"Mieszkanie, Poznań, Stare Miasto, 57 m²Stan: Innyzakończona3 June 2024 o godzinie 10:27:552875,00złZobacz aktualne oferty"
5818,"Biuro, Poznań, Ogrody, 133 m²Stan: Innyzakończona3 June 2024 o godzinie 09:57:294950,00złZobacz aktualne oferty"
5819,"Mieszkanie, Poznań, Jeżyce, 86 m²Stan: Innyzakończona3 June 2024 o godzinie 09:57:271 299 000,00złZobacz aktualne oferty"
5820,"Mieszkanie, Poznań, Górczyn, 31 m²Stan: Innyzakończona3 June 2024 o godzinie 09:57:091600,00złZobacz aktualne oferty"
5821,"Działka, Poznań, Naramowice, 310 m²Stan: Innyzakończona3 June 2024 o godzinie 09:55:5595 000,00złZobacz aktualne oferty"
5822,"Mieszkanie, Poznań, Centrum, 48 m²Stan: Innyzakończona3 June 2024 o godzinie 00:33:102300,00złZobacz aktualne oferty"
5823,"Mieszkanie, Poznań, Podolany, 43 m²Stan: Innyzakończona2 June 2024 o godzinie 22:10:24529 000,00złZobacz aktualne oferty"
5824,"Mieszkanie, Poznań, Stare Miasto, 23 m²Stan: Innyzakończona2 June 2024 o godzinie 00:10:34310 000,00złZobacz aktualne oferty"
5825,"Mieszkanie, Poznań, Nowe Miasto, 38 m²Stan: Innyzakończona2 June 2024 o godzinie 00:10:28400 000,00złZobacz aktualne oferty"
5826,"Mieszkanie, Poznań, Piątkowo, 85 m²Stan: Innyzakończona1 June 2024 o godzinie 20:39:25896 760,00złZobacz aktualne oferty"
5827,"Mieszkanie, Poznań, Wilda, 38 m²Stan: Innyzakończona1 June 2024 o godzinie 13:01:09418 000,00złZobacz aktualne oferty"
5828,"Dom, Poznań, Umultowo, 86 m²Stan: Innyzakończona1 June 2024 o godzinie 10:27:30779 000,00złZobacz aktualne oferty"
5829,"Dom, Poznań, Junikowo, 220 m²Stan: Innyzakończona1 June 2024 o godzinie 09:17:291 340 000,00złZobacz aktualne oferty"
5830,"Biuro, Poznań, Naramowice, 170 m²Stan: Innyzakończona1 June 2024 o godzinie 09:17:298200,00złZobacz aktualne oferty"
5831,"Dom, Poznań, Jeżyce, 165 m²Stan: Innyzakończona1 June 2024 o godzinie 08:21:583 290 000,00złZobacz aktualne oferty"
5832,"Mieszkanie, Poznań, 90 m²Stan: Innyzakończona1 June 2024 o godzinie 08:21:43585 000,00złZobacz aktualne oferty"
5833,"Dom, Poznań, Grunwald, 86 m²Stan: Innyzakończona1 June 2024 o godzinie 08:21:41989 000,00złZobacz aktualne oferty"
5834,"Mieszkanie, Poznań, Centrum, 90 m²Stan: Innyzakończona1 June 2024 o godzinie 08:18:487900,00złZobacz aktualne oferty"
5835,"Garaż, Poznań, Grunwald, 13 m²Stan: Innyzakończona1 June 2024 o godzinie 08:02:25235,00złZobacz aktualne oferty"
5836,"Garaż, Poznań, Grunwald, 13 m²Stan: Innyzakończona1 June 2024 o godzinie 08:02:2515 000,00złZobacz aktualne oferty"
5837,"Magazyny i hale, Poznań, Jeżyce, 600 m²Stan: Innyzakończona1 June 2024 o godzinie 07:04:3211 000,00złZobacz aktualne oferty"
5838,"Mieszkanie, Poznań, Łazarz, 49 m²Stan: Innyzakończona1 June 2024 o godzinie 07:04:07420 000,00złZobacz aktualne oferty"
